,Slot of Booking (Hour of the Day),90_days_repeat,Days_between_booking_service,Source_B,Source_C,Source_D
7751,11,0,3,0,1,0
7752,14,0,1,1,0,0
7753,13,0,5,0,1,0
7754,13,0,1,0,0,1
7755,17,0,0,1,0,0
7756,17,0,5,0,0,1
7757,13,0,0,1,0,0
7758,14,0,0,0,0,1
7759,15,0,5,0,0,1
7760,10,0,1,1,0,0
7761,16,1,0,1,0,0
7762,14,1,4,0,0,0
7763,14,0,2,1,0,0
7764,13,1,2,0,0,1
7765,7,1,2,1,0,0
7766,8,1,2,0,1,0
7767,14,1,4,1,0,0
7768,14,0,1,0,0,1
7769,14,0,5,0,0,0
7770,10,0,5,0,0,0
7771,14,1,3,0,0,1
7772,14,1,4,0,0,1
7773,11,0,2,0,0,1
7774,14,0,3,0,0,0
7775,8,0,1,0,0,0
7776,14,1,3,0,0,1
7777,14,1,0,0,1,0
7778,14,1,3,0,0,0
7779,14,1,4,0,0,1
7780,14,1,0,1,0,0
7781,6,1,0,0,1,0
7782,14,1,2,1,0,0
7783,15,1,2,0,1,0
7784,16,0,3,1,0,0
7785,16,0,2,1,0,0
7786,14,0,2,1,0,0
7787,14,0,3,0,1,0
7788,14,0,1,1,0,0
7789,15,0,3,0,0,1
7790,11,0,5,1,0,0
7791,9,0,1,1,0,0
7792,13,0,4,0,0,1
7793,15,0,4,0,0,1
7794,7,0,4,0,0,1
7795,12,0,0,1,0,0
7796,7,0,0,0,1,0
7797,14,0,5,0,1,0
7798,12,0,2,0,1,0
7799,17,0,0,0,0,0
7800,14,0,4,1,0,0
7801,14,0,3,1,0,0
7802,11,0,2,0,0,0
7803,18,0,4,0,1,0
7804,11,0,2,0,1,0
7805,16,0,4,1,0,0
7806,16,0,5,0,1,0
7807,16,1,1,0,1,0
7808,13,1,4,0,1,0
7809,14,1,5,0,0,1
7810,10,0,2,1,0,0
7811,13,0,2,0,1,0
7812,14,1,2,1,0,0
7813,8,1,1,0,0,0
7814,10,1,0,1,0,0
7815,15,1,5,0,0,0
7816,10,1,1,0,0,1
7817,15,1,3,1,0,0
7818,14,1,2,1,0,0
7819,11,1,4,0,0,0
7820,14,1,4,1,0,0
7821,19,1,1,0,1,0
7822,8,0,4,0,1,0
7823,12,0,0,0,0,1
7824,14,0,4,1,0,0
7825,9,0,1,0,1,0
7826,7,0,4,0,0,0
7827,14,0,5,0,0,0
7828,10,0,1,0,0,1
7829,18,0,4,0,0,1
7830,14,0,3,0,1,0
7831,18,1,1,0,1,0
7832,14,1,4,0,1,0
7833,11,1,5,1,0,0
7834,18,1,4,1,0,0
7835,14,1,3,0,1,0
7836,10,1,0,0,0,0
7837,16,1,3,0,0,1
7838,7,1,5,1,0,0
7839,19,1,3,0,1,0
7840,16,1,2,0,0,0
7841,14,1,1,0,1,0
7842,13,1,0,0,0,1
7843,14,1,1,0,1,0
7844,13,1,2,0,0,1
7845,17,1,4,1,0,0
7846,14,1,1,1,0,0
7847,6,1,0,1,0,0
7848,13,1,2,0,1,0
7849,8,1,3,0,0,1
7850,16,1,4,0,0,1
7851,18,1,4,0,1,0
7852,18,1,1,0,0,1
7853,16,1,4,0,1,0
7854,10,1,3,0,1,0
7855,10,1,3,1,0,0
7856,14,1,5,0,1,0
7857,13,1,0,0,0,1
7858,19,1,5,0,0,0
7859,13,1,1,0,0,1
7860,14,1,5,0,1,0
7861,14,1,3,1,0,0
7862,16,1,0,0,0,0
7863,14,1,5,0,0,1
7864,12,1,1,0,0,0
7865,14,1,2,1,0,0
7866,14,1,4,0,1,0
7867,13,1,5,0,0,1
7868,14,1,5,0,0,0
7869,7,1,1,1,0,0
7870,7,0,1,0,0,1
7871,19,0,4,0,0,1
7872,11,0,5,1,0,0
7873,17,0,5,0,0,1
7874,9,0,4,0,0,1
7875,14,0,2,0,0,0
7876,14,0,3,0,0,1
7877,13,1,2,1,0,0
7878,14,1,0,0,1,0
7879,14,0,3,0,1,0
7880,11,0,3,0,0,0
7881,14,0,0,0,1,0
7882,12,0,4,0,0,1
7883,10,0,5,0,0,1
7884,17,0,2,0,1,0
7885,10,0,5,1,0,0
7886,11,0,1,1,0,0
7887,14,0,1,0,0,0
7888,13,0,0,0,1,0
7889,11,0,4,0,1,0
7890,14,0,0,1,0,0
7891,19,0,0,1,0,0
7892,18,0,2,1,0,0
7893,9,0,3,0,0,1
7894,18,1,4,0,0,1
7895,17,1,5,0,0,1
7896,19,1,1,0,0,1
7897,14,1,4,0,0,1
7898,15,1,0,0,0,1
7899,12,1,3,1,0,0
7900,10,1,0,0,1,0
7901,15,1,2,1,0,0
7902,15,0,3,0,0,1
7903,14,1,2,1,0,0
7904,19,1,5,1,0,0
7905,14,1,5,0,0,0
7906,9,1,2,0,1,0
7907,6,1,1,0,0,0
7908,10,1,3,0,0,1
7909,12,1,1,1,0,0
7910,14,0,5,1,0,0
7911,14,0,2,1,0,0
7912,12,0,5,0,1,0
7913,15,0,0,0,0,0
7914,14,0,4,0,1,0
7915,13,0,5,1,0,0
7916,9,0,2,1,0,0
7917,14,0,4,0,0,0
7918,14,0,0,0,1,0
7919,14,0,2,0,1,0
7920,14,0,4,0,1,0
7921,14,0,3,0,0,1
7922,14,0,1,0,1,0
7923,14,0,1,1,0,0
7924,14,0,2,0,1,0
7925,13,0,5,0,0,1
7926,12,1,1,0,0,1
7927,14,1,0,0,0,1
7928,18,1,5,0,1,0
7929,19,1,2,0,1,0
7930,10,1,3,0,0,0
7931,6,1,2,0,0,1
7932,14,1,2,0,1,0
7933,8,1,0,1,0,0
7934,15,1,0,0,0,1
7935,19,1,2,1,0,0
7936,14,1,5,0,1,0
7937,15,1,1,1,0,0
7938,17,0,0,0,0,0
7939,6,0,3,0,0,1
7940,13,0,5,0,1,0
7941,15,0,1,0,1,0
7942,7,0,5,0,0,1
7943,15,0,1,0,0,1
7944,16,0,5,1,0,0
7945,14,0,5,0,1,0
7946,13,0,4,0,0,1
7947,6,0,0,0,0,1
7948,6,0,0,0,0,1
7949,14,0,4,0,0,0
7950,7,0,1,0,1,0
7951,13,0,4,0,1,0
7952,14,0,1,0,0,0
7953,16,0,4,0,1,0
7954,14,0,0,0,0,0
7955,13,0,2,0,1,0
7956,14,1,1,0,0,0
7957,16,1,1,1,0,0
7958,14,1,2,0,0,1
7959,6,1,3,1,0,0
7960,7,0,4,0,0,1
7961,16,0,5,1,0,0
7962,11,0,0,0,1,0
7963,11,0,5,0,1,0
7964,15,0,4,0,1,0
7965,16,0,5,0,1,0
7966,14,0,0,1,0,0
7967,6,1,1,0,0,0
7968,9,1,2,0,0,1
7969,9,1,5,0,1,0
7970,14,1,0,0,1,0
7971,14,0,2,1,0,0
7972,16,0,1,1,0,0
7973,14,0,4,0,0,0
7974,14,1,3,0,0,1
7975,16,1,5,0,0,1
7976,14,0,0,0,1,0
7977,7,0,1,0,0,1
7978,14,0,2,1,0,0
7979,14,0,4,0,1,0
7980,14,0,5,0,1,0
7981,13,0,3,0,0,0
7982,18,0,4,0,1,0
7983,16,0,5,0,0,1
7984,14,0,2,1,0,0
7985,13,0,1,1,0,0
7986,19,0,1,0,0,1
7987,14,0,2,0,0,0
7988,10,0,4,0,1,0
7989,14,0,3,0,1,0
7990,14,0,4,1,0,0
7991,15,0,5,0,1,0
7992,14,0,3,0,1,0
7993,13,0,2,0,0,1
7994,16,0,5,0,0,0
7995,19,0,5,0,1,0
7996,14,0,1,1,0,0
7997,14,0,0,0,0,0
7998,14,0,1,1,0,0
7999,14,0,5,0,0,0
8000,6,0,3,0,0,1
8001,13,0,1,0,1,0
8002,14,0,5,0,0,0
8003,14,0,1,0,0,1
8004,19,0,3,1,0,0
8005,14,0,4,0,1,0
8006,11,1,5,0,0,1
8007,15,1,2,0,1,0
8008,14,1,1,1,0,0
8009,15,1,4,0,0,1
8010,18,1,4,0,0,1
8011,18,1,0,1,0,0
8012,14,0,1,0,0,1
8013,8,0,2,0,0,0
8014,14,0,3,0,0,1
8015,13,0,1,0,0,0
8016,9,0,4,1,0,0
8017,13,0,0,0,0,0
8018,14,0,2,1,0,0
8019,10,0,1,0,0,1
8020,14,0,3,1,0,0
8021,15,0,4,1,0,0
8022,11,0,0,0,0,0
8023,13,0,3,0,0,1
8024,14,0,4,0,0,0
8025,11,0,1,0,0,0
8026,13,0,0,0,0,0
8027,14,0,5,0,1,0
8028,17,0,5,0,1,0
8029,10,0,3,0,1,0
8030,12,0,3,0,0,0
8031,13,0,0,1,0,0
8032,12,0,2,0,1,0
8033,13,0,2,0,0,0
8034,13,0,5,0,0,1
8035,7,0,4,0,1,0
8036,15,0,5,0,0,1
8037,14,0,2,0,1,0
8038,18,0,4,0,1,0
8039,14,0,1,0,0,1
8040,13,0,5,0,0,1
8041,14,0,0,0,0,0
8042,13,0,5,0,1,0
8043,13,0,0,0,0,0
8044,14,0,0,0,0,0
8045,19,0,3,0,0,0
8046,13,0,4,0,0,0
8047,14,0,1,0,0,0
8048,7,0,1,0,1,0
8049,13,0,0,1,0,0
8050,14,0,3,0,0,1
8051,16,0,4,0,0,0
8052,14,0,3,0,0,1
8053,18,1,0,0,1,0
8054,8,1,4,0,1,0
8055,14,1,2,0,1,0
8056,9,1,2,0,1,0
8057,15,1,4,1,0,0
8058,14,1,2,0,0,0
8059,14,1,3,0,0,0
8060,6,1,2,1,0,0
8061,9,1,0,0,1,0
8062,15,0,1,0,0,1
8063,14,1,4,0,0,1
8064,14,1,2,0,0,0
8065,14,1,2,0,0,1
8066,12,1,3,0,0,1
8067,9,0,3,0,1,0
8068,14,0,1,0,1,0
8069,19,1,3,0,0,0
8070,14,1,5,0,1,0
8071,14,0,3,0,0,1
8072,13,0,4,1,0,0
8073,13,0,3,1,0,0
8074,14,1,3,0,1,0
8075,13,1,0,1,0,0
8076,6,1,0,0,0,0
8077,14,1,5,0,0,1
8078,11,1,2,0,0,0
8079,14,1,4,0,0,0
8080,13,1,5,0,1,0
8081,14,1,0,0,1,0
8082,17,1,4,0,1,0
8083,12,0,5,0,0,1
8084,6,1,5,1,0,0
8085,14,1,4,0,0,1
8086,18,0,3,0,1,0
8087,14,0,2,0,0,0
8088,10,0,3,0,0,1
8089,7,0,2,0,0,1
8090,14,0,0,0,0,1
8091,8,0,3,0,0,1
8092,11,0,5,1,0,0
8093,6,0,0,0,1,0
8094,14,0,5,0,1,0
8095,14,0,3,0,1,0
8096,11,0,1,1,0,0
8097,14,0,1,1,0,0
8098,14,1,5,1,0,0
8099,16,1,0,1,0,0
8100,14,0,1,0,1,0
8101,14,0,4,0,1,0
8102,14,0,0,0,0,0
8103,6,0,3,0,1,0
8104,19,0,1,0,0,1
8105,14,0,2,0,1,0
8106,13,0,3,0,1,0
8107,9,0,2,1,0,0
8108,8,0,0,1,0,0
8109,14,0,1,1,0,0
8110,14,0,5,0,1,0
8111,14,0,4,0,0,1
8112,13,0,5,0,1,0
8113,14,0,5,0,1,0
8114,10,0,2,0,1,0
8115,14,0,4,0,0,0
8116,13,0,3,0,1,0
8117,16,0,2,0,0,1
8118,12,0,3,0,1,0
8119,6,0,2,0,0,1
8120,8,0,2,0,1,0
8121,16,0,4,0,1,0
8122,13,0,4,0,0,1
8123,14,0,3,0,1,0
8124,9,0,0,1,0,0
8125,14,0,2,0,0,1
8126,14,0,5,0,1,0
8127,11,0,3,0,1,0
8128,14,0,1,1,0,0
8129,17,0,0,0,0,1
8130,15,0,5,0,0,1
8131,14,0,1,0,1,0
8132,17,0,2,0,0,1
8133,14,1,0,0,0,0
8134,14,1,2,0,0,0
8135,13,1,0,0,0,1
8136,16,1,0,0,1,0
8137,13,1,5,1,0,0
8138,11,1,3,0,1,0
8139,16,0,5,0,1,0
8140,19,1,1,0,1,0
8141,8,1,2,1,0,0
8142,10,0,5,1,0,0
8143,14,0,4,0,0,1
8144,18,0,4,0,0,1
8145,7,1,0,0,0,1
8146,7,1,1,1,0,0
8147,12,1,0,0,1,0
8148,19,1,3,0,0,0
8149,14,0,4,1,0,0
8150,9,1,1,1,0,0
8151,10,1,0,0,0,0
8152,14,0,3,0,1,0
8153,14,0,1,0,1,0
8154,12,0,2,0,1,0
8155,14,1,1,0,1,0
8156,14,1,1,0,0,1
8157,8,1,0,0,1,0
8158,19,1,0,0,1,0
8159,14,1,3,0,1,0
8160,15,1,4,1,0,0
8161,16,1,3,0,0,1
8162,15,0,2,0,0,1
8163,18,0,4,0,1,0
8164,14,0,1,0,0,0
8165,10,1,0,1,0,0
8166,19,1,5,0,1,0
8167,11,1,3,0,0,1
8168,14,0,2,1,0,0
8169,14,0,4,1,0,0
8170,7,0,1,1,0,0
8171,19,0,4,0,1,0
8172,14,0,3,0,0,1
8173,7,0,4,0,1,0
8174,14,0,5,0,1,0
8175,14,0,5,0,1,0
8176,14,0,3,0,1,0
8177,14,0,4,0,0,1
8178,14,0,1,1,0,0
8179,11,0,2,1,0,0
8180,14,0,0,1,0,0
8181,13,1,2,0,0,0
8182,16,1,1,0,0,1
8183,8,1,2,1,0,0
8184,11,1,3,0,1,0
8185,13,1,4,1,0,0
8186,19,0,5,0,0,1
8187,10,1,5,1,0,0
8188,14,1,1,1,0,0
8189,14,1,2,1,0,0
8190,14,1,2,0,1,0
8191,14,0,2,0,0,1
8192,12,0,3,0,1,0
8193,14,0,2,0,0,1
8194,14,0,2,1,0,0
8195,8,0,5,0,0,1
8196,14,0,0,0,0,0
8197,7,0,5,1,0,0
8198,13,0,2,0,1,0
8199,8,0,5,0,1,0
8200,14,0,2,0,1,0
8201,15,0,5,1,0,0
8202,14,1,0,1,0,0
8203,13,1,5,0,0,0
8204,12,1,5,0,0,0
8205,16,1,5,1,0,0
8206,9,0,5,0,1,0
8207,14,0,0,0,0,0
8208,6,0,4,0,0,1
8209,8,0,0,0,0,0
8210,9,0,0,0,0,0
8211,14,0,5,0,1,0
8212,15,0,3,1,0,0
8213,14,0,1,0,1,0
8214,14,0,4,0,0,0
8215,14,0,2,1,0,0
8216,15,1,1,0,1,0
8217,8,1,5,0,1,0
8218,14,0,0,0,0,0
8219,13,0,3,1,0,0
8220,14,1,3,0,0,0
8221,7,1,0,0,0,1
8222,13,0,1,0,1,0
8223,14,0,1,0,0,0
8224,13,1,4,0,0,1
8225,16,1,4,0,0,1
8226,14,1,0,0,1,0
8227,15,1,5,0,1,0
8228,13,1,1,1,0,0
8229,13,1,2,1,0,0
8230,19,1,2,1,0,0
8231,14,0,5,0,0,0
8232,14,0,4,0,0,0
8233,14,1,0,0,1,0
8234,14,1,5,0,1,0
8235,17,1,4,0,0,1
8236,14,1,1,0,0,0
8237,13,1,1,0,1,0
8238,15,1,0,1,0,0
8239,7,1,2,0,1,0
8240,13,0,5,0,1,0
8241,14,1,4,0,1,0
8242,14,1,3,1,0,0
8243,14,1,3,0,1,0
8244,9,1,4,0,1,0
8245,16,1,1,0,1,0
8246,18,1,3,0,0,0
8247,13,1,4,0,0,1
8248,14,1,2,0,1,0
8249,15,1,0,1,0,0
8250,12,1,3,0,1,0
8251,8,1,3,0,1,0
8252,14,0,5,0,0,1
8253,8,0,3,0,0,0
8254,13,0,3,0,1,0
8255,18,0,5,0,1,0
8256,15,0,4,0,1,0
8257,18,0,0,0,0,0
8258,14,0,0,0,1,0
8259,11,0,5,0,1,0
8260,19,0,3,0,0,1
8261,17,0,3,0,0,1
8262,14,0,2,1,0,0
8263,14,1,5,0,1,0
8264,11,1,2,0,1,0
8265,8,1,3,0,0,0
8266,14,1,5,1,0,0
8267,9,1,4,0,1,0
8268,13,1,0,0,1,0
8269,14,0,5,1,0,0
8270,16,0,0,0,0,1
8271,10,0,5,0,1,0
8272,13,0,0,0,0,0
8273,12,0,0,0,0,1
8274,15,0,5,0,0,1
8275,7,0,1,1,0,0
8276,14,0,3,0,1,0
8277,13,1,1,0,0,0
8278,6,1,0,1,0,0
8279,14,1,5,1,0,0
8280,14,1,1,0,1,0
8281,13,1,3,0,1,0
8282,19,1,4,0,1,0
8283,18,1,2,0,0,1
8284,14,1,4,0,0,1
8285,14,1,5,0,1,0
8286,13,1,4,0,0,0
8287,14,1,4,0,0,1
8288,7,1,4,0,0,1
8289,8,1,4,0,1,0
8290,14,1,5,1,0,0
8291,13,0,2,1,0,0
8292,17,1,4,0,1,0
8293,14,1,1,0,0,1
8294,14,1,3,0,0,1
8295,9,1,3,0,1,0
8296,14,1,4,0,0,0
8297,14,1,0,0,1,0
8298,18,0,1,0,1,0
8299,14,0,3,1,0,0
8300,7,0,1,0,1,0
8301,14,0,2,0,0,1
8302,16,0,4,1,0,0
8303,14,0,4,1,0,0
8304,14,0,5,1,0,0
8305,13,0,1,0,1,0
8306,13,0,3,0,1,0
8307,13,0,1,0,0,0
8308,6,1,3,0,1,0
8309,12,1,5,0,1,0
8310,9,1,4,1,0,0
8311,14,0,2,0,0,0
8312,14,0,1,0,0,0
8313,16,0,1,0,1,0
8314,14,0,3,0,0,1
8315,9,0,4,0,0,0
8316,14,0,5,0,1,0
8317,18,0,2,0,0,0
8318,6,0,0,1,0,0
8319,13,0,4,0,1,0
8320,15,0,1,0,1,0
8321,13,0,4,0,0,0
8322,6,0,1,0,0,0
8323,14,0,1,0,1,0
8324,14,0,3,1,0,0
8325,14,0,2,1,0,0
8326,13,0,3,0,0,1
8327,13,0,2,0,1,0
8328,14,0,4,0,0,1
8329,12,0,3,0,0,1
8330,14,0,2,0,0,0
8331,12,0,0,1,0,0
8332,15,0,3,0,1,0
8333,13,0,5,0,1,0
8334,11,0,1,0,1,0
8335,14,0,1,0,0,1
8336,14,0,2,0,0,0
8337,19,0,4,0,0,0
8338,14,1,2,0,1,0
8339,14,1,0,0,0,0
8340,14,0,3,1,0,0
8341,14,0,2,0,0,1
8342,14,0,1,1,0,0
8343,14,0,2,0,1,0
8344,14,0,3,0,1,0
8345,17,0,1,0,1,0
8346,12,0,4,1,0,0
8347,18,0,1,0,1,0
8348,19,0,4,0,0,1
8349,16,0,4,0,0,1
8350,7,0,5,1,0,0
8351,16,0,0,0,0,0
8352,14,1,4,0,0,0
8353,13,1,0,0,1,0
8354,19,1,5,0,0,1
8355,14,1,5,1,0,0
8356,13,0,3,0,0,0
8357,14,0,3,1,0,0
8358,15,0,5,1,0,0
8359,14,0,0,1,0,0
8360,14,0,3,0,1,0
8361,13,1,1,0,1,0
8362,7,1,3,1,0,0
8363,13,1,2,1,0,0
8364,14,1,5,0,0,0
8365,14,1,0,0,0,1
8366,14,1,0,0,0,0
8367,6,1,5,0,1,0
8368,11,1,0,0,0,1
8369,12,1,4,0,0,1
8370,14,1,4,0,1,0
8371,6,1,1,0,1,0
8372,14,1,1,0,0,0
8373,10,1,3,0,0,1
8374,14,1,3,1,0,0
8375,13,1,0,0,0,1
8376,12,1,3,0,0,1
8377,14,0,3,1,0,0
8378,14,0,1,0,0,0
8379,14,1,1,0,1,0
8380,14,1,1,0,1,0
8381,14,0,1,1,0,0
8382,10,1,3,0,1,0
8383,14,1,3,1,0,0
8384,13,1,4,0,1,0
8385,17,1,4,0,0,1
8386,14,0,1,0,1,0
8387,10,0,5,0,1,0
8388,9,1,2,0,0,1
8389,14,1,2,0,0,1
8390,8,0,5,0,1,0
8391,11,0,2,0,0,1
8392,10,0,2,0,0,1
8393,14,0,0,0,1,0
8394,14,0,4,1,0,0
8395,13,1,2,0,0,1
8396,16,1,3,0,1,0
8397,16,1,1,0,1,0
8398,17,1,1,0,1,0
8399,14,1,1,0,1,0
8400,13,0,2,0,0,1
8401,15,1,2,0,0,0
8402,14,1,3,1,0,0
8403,14,1,3,0,1,0
8404,15,1,4,0,1,0
8405,7,1,5,0,0,1
8406,14,0,4,0,0,1
8407,14,0,3,0,1,0
8408,14,0,0,0,1,0
8409,18,0,1,0,1,0
8410,15,0,5,0,0,0
8411,14,0,2,0,1,0
8412,13,0,5,0,0,1
8413,14,0,1,0,0,1
8414,13,0,4,0,0,0
8415,14,0,5,0,0,0
8416,9,1,4,0,1,0
8417,15,1,5,0,1,0
8418,6,1,4,0,1,0
8419,10,0,1,0,1,0
8420,6,0,5,0,0,0
8421,18,0,0,0,0,1
8422,7,0,4,1,0,0
8423,15,0,2,0,0,0
8424,19,0,1,0,0,0
8425,14,0,0,0,1,0
8426,19,0,0,0,1,0
8427,14,0,3,0,1,0
8428,13,0,0,0,0,1
8429,6,0,3,1,0,0
8430,14,0,4,0,0,1
8431,14,1,0,0,0,1
8432,11,1,2,1,0,0
8433,13,1,5,1,0,0
8434,14,1,4,0,1,0
8435,14,1,4,0,0,1
8436,12,1,5,0,1,0
8437,14,1,2,1,0,0
8438,19,1,5,1,0,0
8439,10,1,1,0,1,0
8440,14,0,1,0,0,0
8441,14,0,5,0,0,1
8442,14,0,1,0,1,0
8443,7,0,2,0,0,1
8444,14,1,3,0,0,0
8445,13,1,3,1,0,0
8446,14,0,4,0,1,0
8447,18,0,1,0,0,0
8448,17,0,4,1,0,0
8449,19,0,2,0,1,0
8450,17,0,0,1,0,0
8451,19,0,5,0,0,1
8452,10,0,1,1,0,0
8453,17,0,3,0,0,0
8454,9,0,0,1,0,0
8455,7,0,0,0,1,0
8456,18,0,0,0,0,1
8457,18,0,1,0,0,1
8458,19,0,2,0,0,1
8459,13,0,4,0,0,1
8460,14,1,5,1,0,0
8461,14,1,0,0,1,0
8462,8,1,2,1,0,0
8463,10,1,0,0,1,0
8464,9,1,5,0,1,0
8465,14,1,4,1,0,0
8466,10,1,0,0,0,1
8467,13,1,2,1,0,0
8468,13,1,4,0,0,1
8469,13,0,2,0,0,1
8470,10,0,4,0,1,0
8471,16,0,2,1,0,0
8472,14,0,3,1,0,0
8473,9,0,3,1,0,0
8474,11,0,4,1,0,0
8475,12,0,2,0,1,0
8476,18,0,1,0,0,1
8477,13,0,1,1,0,0
8478,13,0,2,0,1,0
8479,10,0,1,0,0,1
8480,16,0,3,0,0,0
8481,13,0,2,1,0,0
8482,12,0,1,1,0,0
8483,14,0,3,0,0,1
8484,15,0,5,0,1,0
8485,11,0,5,1,0,0
8486,15,0,4,0,1,0
8487,14,0,0,0,1,0
8488,14,0,3,1,0,0
8489,13,0,5,0,0,1
8490,14,0,1,0,1,0
8491,7,0,1,0,0,1
8492,13,0,4,0,1,0
8493,8,0,5,0,0,1
8494,14,0,5,1,0,0
8495,14,0,3,0,0,1
8496,9,0,2,1,0,0
8497,14,0,1,0,1,0
8498,11,0,3,0,0,0
8499,8,0,0,0,0,1
8500,14,0,4,0,0,1
8501,19,0,1,0,1,0
8502,9,1,1,1,0,0
8503,9,1,0,0,0,1
8504,15,0,0,0,1,0
8505,8,0,1,0,1,0
8506,14,0,0,0,1,0
8507,14,1,3,1,0,0
8508,14,1,0,1,0,0
8509,14,0,0,0,0,1
8510,6,0,5,1,0,0
8511,14,0,0,0,1,0
8512,14,0,5,0,0,1
8513,14,0,0,0,1,0
8514,9,0,3,0,1,0
8515,13,0,2,1,0,0
8516,15,0,4,0,0,1
8517,6,1,2,0,0,1
8518,14,1,5,0,1,0
8519,14,0,1,0,0,1
8520,9,0,5,1,0,0
8521,14,0,2,0,0,0
8522,13,0,0,0,1,0
8523,6,0,3,0,0,1
8524,19,1,2,0,0,0
8525,12,1,0,0,1,0
8526,12,0,4,0,1,0
8527,14,0,0,0,0,1
8528,14,0,0,0,1,0
8529,7,0,5,0,1,0
8530,6,0,4,0,0,1
8531,10,0,4,0,0,0
8532,14,0,5,0,0,0
8533,7,0,5,0,0,1
8534,13,0,0,0,1,0
8535,14,0,3,0,0,0
8536,11,0,3,0,0,1
8537,14,0,0,1,0,0
8538,18,0,1,0,1,0
8539,7,0,4,0,0,1
8540,14,0,2,1,0,0
8541,13,0,1,1,0,0
8542,14,0,5,0,1,0
8543,12,0,2,0,0,1
8544,18,0,4,0,1,0
8545,13,0,3,0,1,0
8546,16,0,2,1,0,0
8547,12,0,2,0,1,0
8548,14,0,1,0,0,1
8549,13,0,3,0,0,0
8550,9,0,0,0,1,0
8551,14,0,5,0,0,1
8552,17,0,2,1,0,0
8553,19,0,1,1,0,0
8554,14,0,5,0,0,1
8555,11,0,4,0,0,0
8556,13,1,4,0,0,0
8557,13,1,0,1,0,0
8558,14,0,4,0,1,0
8559,15,0,5,0,0,1
8560,19,0,1,0,1,0
8561,13,0,3,1,0,0
8562,9,0,1,1,0,0
8563,18,0,2,0,1,0
8564,14,1,0,0,1,0
8565,14,1,1,1,0,0
8566,6,0,0,1,0,0
8567,7,0,2,0,0,0
8568,7,0,0,0,0,0
8569,14,0,1,0,0,1
8570,19,0,3,0,0,0
8571,14,0,5,0,1,0
8572,14,0,5,1,0,0
8573,15,0,4,0,0,0
8574,14,0,3,0,1,0
8575,14,0,2,0,1,0
8576,6,1,0,0,1,0
8577,18,1,4,0,1,0
8578,14,0,3,1,0,0
8579,14,0,0,1,0,0
8580,13,1,0,1,0,0
8581,11,1,4,0,0,0
8582,14,1,2,0,1,0
8583,10,1,2,0,1,0
8584,14,1,2,0,0,1
8585,14,0,3,0,1,0
8586,13,0,5,0,0,1
8587,14,0,5,1,0,0
8588,17,0,5,0,1,0
8589,14,0,2,0,1,0
8590,19,0,1,0,0,1
8591,19,0,0,0,0,1
8592,16,0,0,0,0,0
8593,14,0,2,0,1,0
8594,15,0,2,0,0,1
8595,9,1,1,0,0,1
8596,14,1,1,0,1,0
8597,12,0,1,0,0,1
8598,13,0,2,0,0,0
8599,14,0,0,0,1,0
8600,8,0,0,1,0,0
8601,14,0,2,1,0,0
8602,14,0,0,1,0,0
8603,19,0,3,0,0,1
8604,12,0,4,1,0,0
8605,16,0,4,0,0,1
8606,9,0,1,0,0,1
8607,7,0,3,0,0,0
8608,14,0,5,1,0,0
8609,14,0,5,0,1,0
8610,14,0,1,0,1,0
8611,14,0,0,0,1,0
8612,17,0,2,0,0,1
8613,9,0,4,1,0,0
8614,14,0,1,0,0,1
8615,13,0,0,0,0,0
8616,7,1,1,0,0,1
8617,11,1,4,0,0,0
8618,11,1,2,0,0,1
8619,8,1,4,0,0,1
8620,10,1,0,0,0,1
8621,17,1,2,0,0,0
8622,7,1,4,0,0,1
8623,6,0,0,1,0,0
8624,18,0,4,0,0,0
8625,8,0,4,0,0,1
8626,14,0,3,0,1,0
8627,15,0,2,0,0,0
8628,7,0,4,1,0,0
8629,14,0,5,1,0,0
8630,14,0,3,0,1,0
8631,14,0,4,1,0,0
8632,12,0,5,0,1,0
8633,13,0,5,0,1,0
8634,8,0,5,0,1,0
8635,13,0,0,0,0,1
8636,14,0,2,1,0,0
8637,14,0,5,0,0,0
8638,14,1,2,0,1,0
8639,9,1,5,0,0,1
8640,14,1,4,0,0,0
8641,14,1,2,0,1,0
8642,12,1,2,0,1,0
8643,9,1,4,1,0,0
8644,14,1,5,0,1,0
8645,13,1,4,0,1,0
8646,14,1,1,0,1,0
8647,7,1,3,1,0,0
8648,8,1,3,1,0,0
8649,19,1,1,0,0,0
8650,6,1,5,0,1,0
8651,14,1,5,0,1,0
8652,14,0,1,1,0,0
8653,9,0,3,0,0,0
8654,14,0,3,1,0,0
8655,13,1,1,0,1,0
8656,11,1,2,0,0,1
8657,14,1,0,0,0,0
8658,14,1,0,0,0,1
8659,14,1,2,0,1,0
8660,17,1,3,0,0,0
8661,16,1,4,0,1,0
8662,14,1,3,0,0,1
8663,14,1,2,1,0,0
8664,14,0,3,1,0,0
8665,14,0,5,0,1,0
8666,14,0,4,0,0,1
8667,11,0,1,0,0,0
8668,14,0,4,0,0,0
8669,14,0,0,1,0,0
8670,6,1,2,0,0,1
8671,6,1,1,1,0,0
8672,14,0,5,1,0,0
8673,14,0,1,0,0,1
8674,17,0,2,1,0,0
8675,9,0,2,0,0,1
8676,7,1,2,0,1,0
8677,6,1,3,0,1,0
8678,14,1,2,0,1,0
8679,14,1,1,0,1,0
8680,13,1,1,0,0,0
